"Service","EC2-Instances","Relational Database Service","ElastiCache","Elastic File System","Tax","CloudWatch","Backup","EC2-Other","Support (Developer)","VPC","Elastic Load Balancing","Inspector","Config","Glacier","S3","SES","Systems Manager","Key Management Service","SNS","SQS","Total Costs"
"Service total","3632.2355846368","3310.4635652138","904.02","752.9335189564","696.32","476.4084603828","451.3104681252","411.3968568804","316.6166144533","264.5485889","214.6978082568","58.5","40.587","24.7314670786","9.2952370631","2.7556389222","0.00297","0","0","0","11566.8237788694"
"2024-10-01","619.0213670553","557.3506869831","154.008","119.0665445611","117.22","79.5831689644","73.0261286949","68.5778159943","53.3085989628","44.662026385","37.1079281881","11.25","7.144","4.0684803578","1.5493068788","0.5378483885","0","0","0","0","1947.4819014141"
"2024-11-01","599.0467433164","543.3596196668","149.04","121.7734985978","114.6","80.2140827063","73.9980711025","68.5766487072","52.1041819055","43.217629175","35.7526870189","9","6.72","4.0933720541","1.5491440433","0.4645717623","0","0","0","0","1903.5102500561"
"2024-12-01","618.8538413304","557.1394906624","153.852","124.5164608115","117.52","79.3492980185","74.9194159149","68.5603440059","53.4391318004","45.363781945","37.125364277","9","6.58","4.1234231801","1.5490595085","0.3719174851","0","0","0","0","1952.2635289397"
"2025-01-01","618.5313179644","556.7915458166","154.008","126.6695950085","117.73","79.08639476","75.7268303644","68.5560210496","53.529828295","44.98664306","35.7022231996","11.25","6.86","4.1467314234","1.549322364","0.4629885898","0","0","0","0","1955.5874418953"
"2025-02-01","558.607892424","517.6127280058","139.104","128.6312072905","109.69","79.7213792091","76.3263602991","68.5524135106","49.8678771967","40.32975832","31.9708142113","9","6.265","4.1216599566","1.5490543991","0.4703017644","0","0","0","0","1821.8204465872"
"2025-03-01","618.1744225463","578.2094940791","154.008","132.276212687","119.56","78.4541367245","77.3136617494","68.5736136128","54.3669962929","45.988750015","37.0387913619","9","7.018","4.1778001066","1.5493498694","0.4480109321","0.00297","0","0","0","1986.160209977"
